id,respondent_id,survey_id,answer
1,1,1,"Пользуюсь интернетом 5 часов в день"
2,2,1,"Использую социальные сети для работы"
3,3,2,"Сортирую мусор и экономлю воду"
4,4,3,"Социальные сети помогают учёбе"
5,5,3,"Я ограничиваю время в социальных сетях"
6,6,1,"Читаю новости онлайн каждый день"
7,7,2,"Смотрю видео на YouTube несколько часов в неделю"
8,8,1,"Играю в онлайн-игры по вечерам"
9,9,2,"Покупаю товары через интернет"
10,10,3,"Участвую в вебинарах и онлайн-курсах"
11,11,1,"Слушаю подкасты во время прогулок"
12,12,2,"Использую интернет для поиска информации"
13,13,3,"Общаюсь с друзьями через мессенджеры"
14,14,1,"Забочусь о безопасности своих данных в интернете"
15,15,2,"Часто делаю покупки в интернет-магазинах"
16,16,3,"Планирую свой день с помощью приложений"
17,17,1,"Использую интернет для изучения иностранных языков"
18,18,2,"Следую за блогерами в социальных сетях"
19,19,3,"Читаю электронные книги"
20,20,1,"Участвую в онлайн-опросах и исследованиях"
21,21,2,"Смотрю сериалы на стриминговых сервисах"
22,22,3,"Ищу рецепты для готовки в интернете"
23,23,1,"Планирую путешествия через интернет"
24,24,2,"Заботюсь о своем здоровье с помощью приложений"
25,25,3,"Ищу советы по саморазвитию онлайн"
26,26,1,"Участвую в онлайн-играх с друзьями"
27,27,2,"Сравниваю цены перед покупкой"
28,28,3,"Занимаюсь спортом по видеоурокам"
29,29,1,"Веду блог о своих увлечениях"
30,30,2,"Следую за новыми трендами в моде через интернет"
31,31,1,"Смотрю обучающие видео на YouTube"
32,32,3,"Пишу статьи для онлайн-платформ"
33,33,2,"Обсуждаю фильмы с друзьями в интернете"
34,34,1,"Читаю форумы о своих увлечениях"
35,35,3,"Ищу идеи для подарков онлайн"
36,36,1,"Планирую свой бюджет через приложения"
37,37,2,"Использую интернет для общения с родственниками"
38,38,3,"Смотрю спортивные трансляции онлайн"
39,39,1,"Занимаюсь фотографией и делюсь работами в интернете"
40,40,2,"Ищу информацию о здоровье и питании онлайн"
41,41,3,"Читаю отзывы перед покупкой товаров"
42,42,1,"Участвую в конкурсах и розыгрышах в интернете"
43,43,2,"Следую за новыми технологиями и гаджетами"
44,44,3,"Ищу вдохновение для творчества онлайн"
45,45,1,"Сравниваю курсы валют перед поездками"
46,46,2,"Смотрю документальные фильмы на стриминге"
47,47,3,"Участвую в онлайн-сообществах по интересам"
48,48,1,"Следую за новостями культуры и искусства"
49,49,2,"Забочусь о психическом здоровье через приложения"
50,50,3,"Обсуждаю книги с друзьями онлайн"
51,51,1,"Планирую свои поездки через интернет"
52,52,2,"Играю в мобильные игры во время ожидания"
53,53,3,"Смотрю образовательные каналы на YouTube"
54,54,1,"Читаю блоги о путешествиях и приключениях"
55,55,2,"Ищу советы по личной эффективности онлайн"
56,56,3,"Следую за новыми рецептами и кулинарными трендами"
57,57,1,"Занимаюсь йогой по видеоурокам из интернета"
58,58,2,"Обсуждаю новости с друзьями в мессенджерах"
59,59,3,"Ищу идеи для своего бизнеса через интернет"
60,60,1,"Слушаю музыку на стриминговых сервисах"
61,61,2,"Читаю статьи о технологиях и инновациях онлайн"
62,62,3,"Следую за спортивными событиями через интернет"
63,63,1,"Забочусь о своей физической форме через приложения"
64,64,2,"Участвую в опросах на платформах отзывов"
65,65,3,"Смотрю фильмы на иностранных языках для практики"
66,66,1,"Планирую свои цели через онлайн-сервисы"
67,67,2,"Следую за новыми книгами и авторами онлайн"
68,68,3,"Читаю о новых трендах в дизайне и искусстве"
69,69,1,"Ищу работу через сайты вакансий"
70,70,2,"Обсуждаю фильмы и сериалы на форумах"
71,71,3,"Играю в настольные игры с друзьями по видеосвязи"
72,72,1,"Сравниваю предложения от разных компаний перед покупкой услуг"
73,73,,2,"Читаю отзывы о ресторанах перед походом туда."
74,,3,"Ищу информацию о новых технологиях."
75,,1,"Слушаю аудиокниги во время поездок."
76,,2,"Планирую мероприятия через интернет."
77,,3,"Следую за новыми тенденциями в моде."
78,,1,"Изучаю новые языки с помощью приложений."
79,,2,"Читаю статьи о личностном развитии."
80,,3,"Смотрю вебинары по интересующим темам."
81,,1,"Участвую в акциях и распродажах онлайн."
82,,2,"Следую за новыми проектами в киноиндустрии."
83,,3,"Ищу идеи для ремонта квартиры."
84,,1,"Обсуждаю актуальные темы на форумах."
85,,2,"Пишу рецензии на прочитанные книги."
86,,3,"Забочусь о своем здоровье с помощью фитнес-приложений."
87,,1,"Слушаю живые концерты онлайн."
88,,2,"Ищу вдохновение для написания статей."
89,,3,"Участвую в обсуждениях на тематических форумах."
90,,1,"Сравниваю различные платформы для обучения."

